name;description;resource;action
delete-any-proses-pengajuan;mengelola proses pengajuan;proses-pengajuan;delete:any
delete-any-proses-verifikasi;mengelola proses verifikasi;proses-verifikasi;delete:any
delete-any-proses-daftar-nominatif;mengelola proses daftar nominatif;proses-daftar-nominatif;delete:any
delete-any-proses-pembayaran;mengelola proses pembayaran;proses-pembayaran;delete:any
delete-own-referensi;mengelola data referensi;referensi;delete:own
delete-own-referensi-pengguna;mengelola data pengguna;ref-pengguna;delete:own
delete-own-referensi-role;mengelola data referensi role;ref-role;delete:own
delete-own-referensi-permission;mengelola data referensi permission;ref-permission;delete:own
delete-own-referensi-role-permission;mengelola data referensi role permission;ref-role-permission;delete:own
delete-own-referensi-narasumber;mengelola data referensi narasumber;ref-narasumber;delete:own
delete-own-referensi-materi;mengelola data referensi materi;ref-materi;delete:own
delete-own-referensi-kelas;mengelola data referensi kelas;ref-kelas;delete:own
delete-own-referensi-sbm-honorarium;mengelola data referensi sbm honorarium;ref-sbm-honorarium;delete:own
delete-own-referensi-sbm-uh-dalam-negeri;mengelola data referensi sbm uh dalam negeri;ref-sbm-uh-dalam-negeri;delete:own
delete-own-referensi-sbm-uh-luar-negeri;mengelola data referensi sbm uh luar negeri;ref-sbm-uh-luar-negeri;delete:own
delete-own-referensi-sbm-uh-uang-representasi;mengelola data referensi sbm uh uang representasi;ref-sbm-uh-uang-representasi;delete:own
delete-own-referensi-pengelola-keuangan;mengelola data referensi pengelola keuangan;ref-pengelola-keuangan;delete:own
delete-own-referensi-satker-anggaran;mengelola data referensi satker anggaran;ref-satker-anggaran;delete:own
delete-own-referensi-unit-kerja;mengelola data referensi unit kerja;ref-unit-kerja;delete:own
delete-own-referensi-negara;mengelola data referensi negara;ref-negara;delete:own
delete-own-referensi-provinsi;mengelola data referensi provinsi;ref-provinsi;delete:own
delete-own-proses-setup-kegiatan;mengelola proses setup kegiatan;proses-setup-kegiatan;delete:own
delete-own-proses-pengajuan;mengelola proses pengajuan;proses-pengajuan;delete:own
delete-own-proses-verifikasi;mengelola proses verifikasi;proses-verifikasi;delete:own
delete-own-proses-daftar-nominatif;mengelola proses daftar nominatif;proses-daftar-nominatif;delete:own
delete-own-proses-pembayaran;mengelola proses pembayaran;proses-pembayaran;delete:own
read-any-dashbboard;mengakses dashboard;dasboard;read:any
read-own-dashbboard;mengakses dashboard;dasboard;read:own
read-any-workbench;mengakses workbench;workbench;read:any
read-own-workbench;mengakses workbench;workbench;read:own
read-any-pending;mengakses pending page;pending;read:any
read-own-pending;mengakses pending page;pending;read:own
update-any-dokumen-akhir;memperbarui dokumen akhir;dokumen-akhir;update:any
update-own-dokumen-akhir;memperbarui dokumen akhir;dokumen-akhir;update:own
update-any-verfikasi-dokumen-akhir;memperbarui dokumen akhir;verfikasi-dokumen-akhir;update:any
update-own-verfikasi-dokumen-akhir;memperbarui dokumen akhir;verfikasi-dokumen-akhir;update:own
read-any-pagu;mengakses data pagu;ref-pagu;read:any
read-own-pagu;mengakses data pagu;ref-pagu;read:own
create-any-pagu;menambahkan data pagu;ref-pagu;create:any
create-own-pagu;menambahkan data pagu;ref-pagu;create:own
update-any-pagu;memperbarui data pagu;ref-pagu;update:any
update-own-pagu;memperbarui data pagu;ref-pagu;update:own
delete-any-pagu;menghapus data pagu;ref-pagu;delete:any
delete-own-pagu;menghapus data pagu;ref-pagu;delete:own
read-any-sp2d;mengakses data sp2d;ref-sp2d;read:any
read-own-sp2d;mengakses data sp2d;ref-sp2d;read:own
create-any-sp2d;menambahkan data sp2d;ref-sp2d;create:any
create-own-sp2d;menambahkan data sp2d;ref-sp2d;create:own
update-any-sp2d;memperbarui data sp2d;ref-sp2d;update:any
update-own-sp2d;memperbarui data sp2d;ref-sp2d;update:own
delete-any-sp2d;menghapus data sp2d;ref-sp2d;delete:any
delete-own-sp2d;menghapus data sp2d;ref-sp2d;delete:own
